,Demanda,Produccion
2019-09-03,497362,412936
2019-09-04,496358,406715
2019-09-05,497279,406456
2019-09-06,490823,412713
2019-09-07,486222,411360
2019-09-08,483473,409122
2019-09-09,481974,406450
2019-09-10,475117,400249
2019-09-11,479644,403614
2019-09-12,484206,401009
2019-09-13,476807,398162
2019-09-14,488804,404655
2019-09-15,498207,398456
2019-09-16,491735,401555
2019-09-17,490495,394149
2019-09-18,484808,402471
2019-09-19,483517,402082
2019-09-20,482265,394399
2019-09-21,480657,391779
2019-09-22,474824,394168
2019-09-23,470948,388087
2019-09-24,471135,384923
2019-09-25,470572,390317
2019-09-26,474487,390663
2019-09-27,462411,392302
2019-09-28,467766,389570
2019-09-29,469401,379102
2019-09-30,465656,377820
2019-10-01,463781,369051
2019-10-02,466558,367450
2019-10-03,461922,375271
2019-10-04,449661,388455
2019-10-05,450616,368865
2019-10-06,444011,364075
2019-10-07,440787,357453
2019-10-08,442267,355144
2019-10-09,445362,358145
2019-10-10,448241,367190
2019-10-11,441134,372152
2019-10-12,446236,364433
2019-10-13,440333,362091
2019-10-14,433107,361504
2019-10-15,431062,345000
2019-10-16,431062,327429
2019-10-17,396196,323278
2019-10-18,361031,336726
2019-10-19,369904,336713
2019-10-20,367798,338151
2019-10-21,375284,315667
2019-10-22,344759,297659
2019-10-23,320451,302389
2019-10-24,319978,275605
2019-10-25,289723,250443
2019-10-26,266422,246410
2019-10-27,260149,227967
2019-10-28,248605,239370
2019-10-29,252931,239127
2019-10-30,254560,231009
2019-10-31,246491,234066
2019-11-01,244545,230012
2019-11-02,235667,232588
2019-11-03,239436,234157
2019-11-04,242727,232276
2019-11-05,242554,231943
2019-11-06,240143,227500
2019-11-07,237070,228742
2019-11-08,238236,229799
2019-11-09,236773,230073
2019-11-10,238181,227442
2019-11-11,236134,226136
2019-11-12,238900,228655
2019-11-13,239436,220653
2019-11-14,236716,226663
2019-11-15,234522,229264
2019-11-16,236338,232794
2019-11-17,243591,226595
2019-11-18,241610,230234
2019-11-19,253130,239156
