,Demanda,Produccion
2021-12-06,398854,285621
2021-12-07,405037,283991
2021-12-08,406001,278314
2021-12-09,404353,281096
2021-12-10,407859,286894
2021-12-11,406022,289128
2021-12-12,416400,291325
2021-12-13,415824,300522
2021-12-14,410048,298923
2021-12-15,412486,300322
2021-12-16,416401,288698
2021-12-17,422912,294429
2021-12-18,426802,288966
2021-12-19,418290,289987
2021-12-20,421703,301602
2021-12-21,412939,305825
2021-12-22,421758,300411
2021-12-23,446306,296024
2021-12-24,447156,288411
2021-12-25,444662,292026
2021-12-26,466243,299610
2021-12-27,435243,291977
2021-12-28,420410,279246
2021-12-29,411592,261122
2021-12-30,378184,248905
2021-12-31,414996,257533
2022-01-01,437452,272710
2022-01-02,417780,277922
