Produccion,Hours,Demanda
12903,15,18363
12913,16,17914
13180,17,19715
13431,18,20102
13459,19,20663
13402,20,19905
13569,21,19150
13603,22,18618
12953,23,18001
12543,24,17290
11671,1,13910
10931,2,12963
10514,3,12383
10382,4,12746
10982,5,13370
11889,6,14827
12490,7,16007
12680,8,17640
12854,9,17739
12807,10,18102
13037,11,18308
13109,12,18751
12969,13,18504
12913,14,18483
12757,15,18483
12875,16,18032
13298,17,19848
13439,18,20239
13522,19,20803
13788,20,20042
13656,21,19280
13370,22,18746
13058,23,18122
12611,24,17406
11805,1,13948
11260,2,13011
10872,3,12394
10814,4,12765
11419,5,13414
12356,6,14886
12862,7,16105
12907,8,17727
12940,9,17828
13012,10,18190
12992,11,18439
12951,12,18831
13081,13,18589
13136,14,18568
13427,15,18634
13393,16,18186
13237,17,19939
13631,18,20329
13694,19,20898
13702,20,20131
13546,21,19365
13388,22,18860
12915,23,18201
12485,24,17484
12041,1,14222
11507,2,13306
11155,3,12640
11128,4,13008
11811,5,13640
12201,6,15259
12500,7,16473
12879,8,18017
12888,9,18125
12768,10,18452
12846,11,18674
13216,12,19140
13131,13,18877
12937,14,18856
12557,15,18856
12617,16,18397
12581,17,20248
13034,18,20647
12932,19,21222
13327,20,20445
12948,21,19669
12831,22,19131
12416,23,18484
12160,24,17757
11452,1,14126
10960,2,13175
10735,3,12545
10714,4,12934
11096,5,13576
11597,6,15128
12024,7,16254
12516,8,17948
12295,9,18013
12405,10,18369
12711,11,18595
12916,12,19040
12978,13,18794
12829,14,18773
12799,15,18773
12986,16,18318
13032,17,20161
13269,18,20555
13079,19,21128
13051,20,20357
12952,21,19585
12949,22,19040
12541,23,18406
12138,24,17677
11559,1,14081
11293,2,13124
10923,3,12520
11033,4,12890
11460,5,13518
12053,6,15047
12009,7,16160
12073,8,17838
12045,9,17935
12029,10,18288
12292,11,18510
12149,12,18959
12167,13,18713
12188,14,18693
12260,15,18693
12181,16,18233
11771,17,20070
12559,18,20465
12937,19,21034
12673,20,20265
12493,21,19495
12439,22,18964
11991,23,18323
11834,24,17599
11502,1,13870
11088,2,12929
10738,3,12341
10625,4,12720
11326,5,13364
11970,6,14864
11929,7,16037
11993,8,17601
12043,9,17697
12124,10,18046
12200,11,18267
12172,12,18707
12254,13,18463
12234,14,18442
12237,15,18442
12304,16,17992
12451,17,19805
13075,18,20194
13291,19,20757
13278,20,19997
13291,21,19237
13029,22,18704
12595,23,18082
12277,24,17367
11413,1,13504
10697,2,12616
10640,3,12028
10636,4,12412
11073,5,13080
12192,6,14634
13056,7,15859
12925,8,17277
12939,9,17251
12979,10,17585
13051,11,17794
13166,12,18207
12980,13,17969
12832,14,17963
12814,15,17958
12830,16,17560
13211,17,19304
13220,18,19651
13154,19,20199
13095,20,19461
12959,21,18722
12899,22,18205
12573,23,17598
12276,24,16901
11115,1,12827
10620,2,11994
10344,3,11515
10195,4,11845
10750,5,12425
11532,6,13750
12117,7,14867
12241,8,16384
12549,9,16361
12497,10,16789
12636,11,16983
12723,12,17299
12724,13,17166
12654,14,17130
12528,15,17051
12509,16,16710
13043,17,18280
13283,18,18635
13154,19,19133
13047,20,18431
12963,21,17730
12598,22,17238
12305,23,16666
11850,24,16009
10843,1,13347
10205,2,12441
9834,3,11884
9793,4,12217
10438,5,12810
11401,6,14269
11687,7,15348
11613,8,16890
11580,9,16998
11909,10,17319
11942,11,17547
11925,12,17954
12018,13,17722
11953,14,17702
11979,15,17702
12092,16,17271
12382,17,19007
12721,18,19382
12677,19,19920
12528,20,19192
12404,21,18462
12162,22,17950
11784,23,17353
11376,24,16669
9997,1,13402
9375,2,12450
9182,3,11881
